Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice,optimal_rate,save_price
spring,3000,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 741.0326225561888, 0, 0, 0, 0, 792.4165169998618, 3358.1693045044667, 0, 0, 0, 0, 0, 0]",6077868.798084033,6129470.1450211,6752912.143364384,0.8418565669820919,51601.346937066875
spring,3500,11,"[0, 0, 0, 0, 0, 0, 0, 0, 61.434782334875194, 69.04133518137013, 0, 0, 50.98738974891688, 0, 0, 0, 2055.1087391193278, 3302.8234181888192, 0, 18.061981929623666, 150.384521027137, 0, 0, 19.719692595186388]",5974299.931626976,6025563.145297219,6752912.143364384,0.8507622015421579,51263.21367024351
spring,4000,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 886.9563758973158, 3527.861128767123, 650.9884469522781, 0, 989.0671979576643, 0, 469.42214796249164, 0, 0, 0, 0]",5866970.652246743,5921656.145573339,6752912.143364384,0.9234830929431025,54685.493326595984
spring,4500,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2143.770238348435, 1239.432414394749, 1422.6766892657895, 1931.1581248602677, 0, 0, 25.897756183573247, 0, 0, 579.4670465753425]",5771283.3381483415,5817749.145849459,6752912.143364384,0.7986904649243485,46465.80770111736
spring,5000,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3527.861128767123, 3521.569315068494, 522.3647592368874, 533.8646835973166, 0, 0, 0, 0, 0, 0]",5634331.079003948,5713842.146125578,6752912.143364384,1.3915516930327716,79511.06712163053
spring,1000,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.947780016973148, 0, 0, 657.3510424163652, 0, 961.9870684931508, 0, 0, 0, 0, 0, 0]",2724911.192882227,2742277.0495358007,2950091.048983562,0.6332641210162748,17365.856653573923
spring,1500,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5385393299910555, 0, 333.68011329802255, 0, 1157.450498630137, 960.7977256940698, 0, 0, 0, 0, 0, 0]",2611559.853121586,2638370.049811919,2950091.048983562,1.016165139239823,26810.196690333076
spring,2000,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 341.0681772939231, 0, 0, 1166.0218520547944, 0, 0, 797.654349257585, 961.9870684931508, 0, 0, 0, 0, 0, 0]",2509752.90232676,2534463.0500880396,2950091.048983562,0.9749657924751107,24710.147761279717
spring,2500,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 345.9696926117243, 0, 0, 0, 0, 1191.4163506849316, 1157.450498630137, 961.9870684931508, 0, 0, 0, 0, 344.6306985820291, 0]",2426845.9770690333,2430556.050364159,2950091.048983562,0.15264298449607341,3710.073295125738
spring,3000,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127.39365780874779, 1212.2393424657535, 0, 1117.5277920523179, 0, 1191.4163506849316, 1157.450498630137, 0, 0, 0, 0, 0, 0, 0]",2290770.21973171,2326649.0506402785,2950091.048983562,1.5420817720100484,35878.830908568576
spring,3500,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1166.0218520547944, 1181.5330191780822, 0, 1157.450498630137, 961.9870684931508, 375.4659440118902, 784.8398465753426, 0, 0, 0, 0]",2209145.281160401,2222742.050916398,2950091.048983562,0.6117115456735546,13596.769755996764
spring,4000,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 655.5910733415218, 1212.2393424657535, 0, 0, 1181.5330191780822, 1191.4163506849316, 1157.450498630137, 0, 0, 275.8620151286942, 759.3370520547945, 0, 0, 0]",2114185.0557928993,2118835.0511925174,2950091.048983562,0.21945999982400502,4649.995399618056
spring,4500,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 333.7688890411571, 0, 0, 1166.0218520547944, 1181.5330191780822, 0, 1157.450498630137, 961.9870684931508, 0, 0, 0, 0, 0, 343.1127857415042]",2268736.726465415,2014928.0514686368,2950091.048983562,-12.596413793126896,-253808.67499677837
spring,5000,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 600.6337087991186, 0, 1212.2393424657535, 668.7383219624717, 1166.0218520547944, 0, 0, 1157.450498630137, 961.9870684931508, 819.7679342465754, 0, 0, 0, 693.9902465753426, 664.0544219178082]",1990081.713743117,1911021.051744756,2950091.048983562,-4.137090061157555,-79060.66199836088
spring,1000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1551.5929348079055, 0, 0, 0, 0, 0, 0, 83.61844687427507]",5468271.357248286,5481668.027098955,5689482.026546716,0.24439038964858195,13396.66985066887
spring,1500,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 706.452729562607, 1320.4811644318236, 0, 0, 410.9739407700154, 0, 0, 0, 0, 12.792496554349144]",5364582.841623054,5377761.027375073,5689482.026546716,0.2450496718789987,13178.185752019286
spring,2000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1868.254236547945, 0, 0, 0, 1404.0601748372535, 0, 0, 0, 0, 0, 0]",5237902.637775558,5273854.027651194,5689482.026546716,0.6816910306417242,35951.389875635505
spring,2500,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1839.9777860383563, 1801.0436993928365, 0, 0, 0, 306.4702768371914, 0, 0, 0, 143.02065289301785]",5142008.649487253,5169947.027927312,5689482.026546716,0.540399704080906,27938.37844005879
spring,3000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1794.2518376329679, 1839.9777860383563, 0, 1118.485533177697, 0, 0, 0, 0, 0, 0, 147.37486699776838]",5021109.9461801415,5066040.028203432,5689482.026546716,0.8868876237289514,44930.08202329092
spring,3500,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1839.9777860383563, 607.8410101870644, 0, 0, 0, 1467.7945643835617, 1456.4607780821918, 0, 0, 338.80724032554014]",5009179.5804414265,4962133.028479551,5689482.026546716,-0.9481114611772322,-47046.55196187552
spring,4000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 822.1368972666652, 1839.9777860383563, 1896.5639393205483, 1618.72154309031, 0, 0, 0, 0, 0, 0, 335.3460891783535]",4808563.455315601,4858226.028755671,5689482.026546716,1.0222367824411465,49662.573440070264
spring,4500,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1846.7419683835615, 0, 1868.254236547945, 1354.9388061302584, 0, 0, 1880.4469561643834, 0, 0, 0, 0, 0, 335.8896789072656]",4701845.870298171,4754319.029031792,5689482.026546716,1.1036945230893849,52473.15873362031
spring,5000,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1846.4265187576511, 300.1162670938846, 1839.9777860383563, 1896.5639393205483, 0, 167.71239867453087, 0, 106.58804958094805, 0, 1477.227291780822, 0, 330.88205395501484]",4713155.162804947,4650412.02930791,5689482.026546716,-1.3491951487656597,-62743.13349703699
spring,1000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 330.6834479839065, 31.1941864077097, 0, 0, 0, 1241.3697534246576, 0, 0, 0, 0, 0, 0, 0]",2724748.7968670847,2737225.2754152524,2945039.274863014,0.45580751647395873,12476.478548167739
spring,1500,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.555231388909484, 0, 0, 1268.8803116167653, 0.1709596353523415, 0, 0, 1182.8722191780823, 0, 0, 0, 0.2735463115653676, 0, 0]",2606370.305336385,2633318.275691372,2945039.274863014,1.0233464979812101,26947.970354986843
spring,2000,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.75110636114307, 1274.9533150684933, 155.83899625268873, 0, 1241.3697534246576, 0, 0, 0, 0, 595.7664657534247, 0, 0]",2511952.674440195,2529411.2759674913,2945039.274863014,0.6902239146782729,17458.601527296472
spring,2500,17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 537.0515920730456, 0, 491.0117470259718, 0, 1273.6987397260273, 1256.9424657534246, 0, 0, 0, 0, 0, 0, 532.8187397260274, 0]",2440316.5630927575,2425504.276243611,2945039.274863014,-0.6106889604040016,-14812.286849146709
