Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
spring,2000,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 670.6800000000001, 0, 0, 692.2184547945207, 0, 673.4229041095891, 727.8208767123288, 0, 509.14597452641704, 0, 0, 0, 0]",1682799.820300439,1703254.8129866698,2118882.8118821923
spring,2000,20,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1206.9997150684933, 1179.253479452055, 0, 0, 0, 887.035015622307, 0, 0, 0, 0, 0]",3324348.440623726,3333202.2397483136,3748830.2386438358
spring,2000,22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 922.3264567181975, 0, 0, 1232.1054246575343, 0, 0, 1118.8563287671234, 0, 0, 0, 0, 0, 0]",2763934.323975628,2800020.0980798197,3215648.0969753414
spring,2000,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98.46458274559528, 1845.0708164383564, 0, 0, 1329.7528109589043, 0, 0, 0, 0, 0, 0]",3740597.478441382,3776683.2525455737,4192311.2514410964
spring,2000,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2195.4417534246577, 1011.0831945357357, 0, 0, 0, 0, 0, 0, 66.76326218246194]",5455869.6379840085,5488403.606540094,5904031.605435617
spring,2000,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 917.1703232876713, 0, 892.2924493150686, 902.2716493150685, 0, 0, 561.5537882250471, 0, 0, 0, 0]",1859939.9375443116,1878786.0103499945,2294414.0092455163
spring,2000,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106.55366045830543, 0, 2715.1338801301454, 451.60066955440533, 0, 0, 0, 0, 0, 0]",14761010.19333453,14797095.967438724,15212723.966334244
spring,2000,32,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 908.7786006899943, 0, 0, 1959.8810301369865, 404.62857931587524, 0, 0, 0, 0, 0, 0]",5656477.864041382,5692563.638145574,6108191.637041097
spring,2000,33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1678.3892308728023, 0, 0, 0, 1594.8989792700515, 0, 0, 0, 0, 0, 0]",6155396.449740012,6191482.223844203,6607110.222739725
spring,2000,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2016.1194691715073, 565.9126747756972, 0, 0, 0, 0, 0, 0, 153.18053742852433, 0, 538.0755287671233]",3470333.7322642165,3473091.2457389403,3888719.244634462
spring,2000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1561.0000438356165, 378.2450334025694, 0, 1267.279870722216, 0, 0, 0, 0, 0, 0, 66.76326218245359]",3030459.651786371,3062993.6203424567,3478621.619237979
spring,2000,46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 655.992508133017, 2164.5543452054794, 452.74135680435404, 0, 0, 0, 0, 0, 0]",4802339.242452342,4838425.016556533,5254053.015452055
spring,2000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1471.9011452206796, 0, 0, 1734.623802739726, 0, 0, 0, 0, 66.76326218244863, 0, 0]",3051938.248604588,3085974.3905597795,3501602.3894553017
spring,2000,49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 905.26598630137, 0, 924.5384395835617, 0, 0, 0, 1023.1017534246575, 0, 0, 420.3820308332635, 0, 0, 0]",2530404.7249546116,2553584.770712222,2969212.7696077446
spring,2000,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 587.3285834248117, 833.800599358904, 813.9143263243836, 0, 68.01519683520347, 970.1986191780821, 0, 0, 0, 0, 0, 0]",2279978.8950795415,2298029.4195396286,2713657.4184351503
spring,2000,53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1574.0150794520548, 0, 65.61923837136509, 1566.8906301369866, 0, 0, 0, 66.76326218244616, 0, 0, 0]",3456136.8478944926,3490172.9898496834,3905800.988745205
spring,2000,54,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2582.0321439471795, 0, 0, 0, 0, 0, 0, 691.2560661956743, 0, 0]",17706645.978347555,17721510.191219542,18137138.190115064
spring,2000,57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46.36314224346679, 0, 2395.7841788704736, 0, 831.1408890289158, 0, 0, 0, 0, 0, 0]",6500036.116955354,6536121.891059547,6951749.889955068
spring,2000,58,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 930.0539835616439, 0, 938.8969643835617, 0, 398.3326191932828, 939.2413808219179, 0, 0, 0, 66.7632621824477, 0, 0, 0]",2005724.9314666502,2039761.0734218408,2455389.0723173628
spring,2000,59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1046.0684873534246, 1044.80453529863, 0, 1006.1843887232877, 0, 0, 0, 0, 0, 176.2307987675133, 0]",2331583.2748700036,2358293.570479764,2773921.569375286
spring,2500,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4091.6102626785623, 0, 0, 0, 0, 0, 0]",21113951.98378871,21159059.20141895,21678594.200038355
spring,2500,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1374.3139068493151, 1353.5459506849315, 0, 0, 1269.6113095890412, 0, 0, 94.13909555528107, 0, 0, 0]",2957213.1215784247,2999430.2689751177,3518965.26759452
spring,2500,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2144.92615890411, 0, 0, 1946.68410377446, 0, 0, 0, 0, 0, 0]",6355296.13763529,6400403.355265529,6919938.353884933
spring,2500,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1442.517665318839, 0, 0, 0, 0, 1679.2786849315069, 0, 0, 0, 0, 636.365589041096, 0, 333.4483233871275]",2992626.0992340045,3000457.4424764873,3519992.4410958905
spring,2500,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1442.5176653188416, 0, 0, 0, 0, 1642.7853925479453, 0, 0, 1006.3072048117816, 0, 0, 0, 0]",3732346.091782383,3746559.6782249017,4266094.676844304
spring,2500,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2115.622652054795, 0, 0, 1465.6209448922689, 0, 0, 0, 0, 510.3666657315069, 0, 0]",3495565.2256060997,3525004.1865983824,4044539.185217785
spring,2500,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3073.70251079937, 0, 0, 1017.9077518791997, 0, 0, 0, 0, 0, 0]",6188269.92711474,6233377.14474498,6752912.143364384
spring,2500,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1212.2393424657535, 834.3636575934237, 0, 0, 0, 0, 961.9870684931508, 819.7679342465754, 0, 0, 0, 0, 0]",2472559.4844668005,2430556.050364159,2950091.048983562
