"시점","항목","시간대별",데이터
"2019","10월","8시",1031
"2019","10월","9시",1049
"2019","10월","10시",998
"2019","10월","11시",960
"2019","10월","12시",939
"2019","10월","13시",934
"2019","10월","14시",918
"2019","10월","15시",907
"2019","10월","16시",919
"2019","10월","17시",966
"2019","10월","18시",1098
"2019","10월","19시",1284
"2019","10월","20시",1338
"2019","10월","21시",1342
"2019","10월","22시",1319
"2019","10월","23시",1234
"2019","10월","24시",1099
"2019","11월","1시",951
"2019","11월","2시",839
"2019","11월","3시",780
"2019","11월","4시",752
"2019","11월","5시",751
"2019","11월","6시",779
"2019","11월","7시",873
"2019","11월","8시",1035
"2019","11월","9시",1057
"2019","11월","10시",997
"2019","11월","11시",952
"2019","11월","12시",928
"2019","11월","13시",918
"2019","11월","14시",900
"2019","11월","15시",890
"2019","11월","16시",906
"2019","11월","17시",967
"2019","11월","18시",1139
"2019","11월","19시",1288
"2019","11월","20시",1326
"2019","11월","21시",1332
"2019","11월","22시",1310
"2019","11월","23시",1230
"2019","11월","24시",1100
"2019","12월","1시",962
"2019","12월","2시",852
"2019","12월","3시",791
"2019","12월","4시",762
"2019","12월","5시",759
"2019","12월","6시",782
"2019","12월","7시",868
"2019","12월","8시",1014
"2019","12월","9시",1063
"2019","12월","10시",1024
"2019","12월","11시",990
"2019","12월","12시",963
"2019","12월","13시",951
"2019","12월","14시",932
"2019","12월","15시",920
"2019","12월","16시",934
"2019","12월","17시",994
"2019","12월","18시",1140
"2019","12월","19시",1247
"2019","12월","20시",1275
"2019","12월","21시",1276
"2019","12월","22시",1255
"2019","12월","23시",1182
"2019","12월","24시",1066
"2020","1월","1시",956
"2020","1월","2시",843
"2020","1월","3시",779
"2020","1월","4시",750
"2020","1월","5시",744
"2020","1월","6시",764
"2020","1월","7시",839
"2020","1월","8시",955
"2020","1월","9시",1027
"2020","1월","10시",1025
"2020","1월","11시",1005
"2020","1월","12시",987
"2020","1월","13시",980
"2020","1월","14시",956
"2020","1월","15시",934
"2020","1월","16시",935
"2020","1월","17시",979
"2020","1월","18시",1115
"2020","1월","19시",1264
"2020","1월","20시",1298
"2020","1월","21시",1296
"2020","1월","22시",1276
"2020","1월","23시",1204
"2020","1월","24시",1090
"2020","2월","1시",945
"2020","2월","2시",831
"2020","2월","3시",768
"2020","2월","4시",739
"2020","2월","5시",732
"2020","2월","6시",752
"2020","2월","7시",828
"2020","2월","8시",949
"2020","2월","9시",1007
"2020","2월","10시",1009
"2020","2월","11시",1001
"2020","2월","12시",996
"2020","2월","13시",997
"2020","2월","14시",973
"2020","2월","15시",949
"2020","2월","16시",946
"2020","2월","17시",982
"2020","2월","18시",1095
"2020","2월","19시",1276
"2020","2월","20시",1333
"2020","2월","21시",1320
"2020","2월","22시",1286
"2020","2월","23시",1201
"2020","2월","24시",1082
"2020","3월","1시",945
"2020","3월","2시",832
"2020","3월","3시",768
"2020","3월","4시",736
"2020","3월","5시",727
"2020","3월","6시",745
"2020","3월","7시",815
"2020","3월","8시",929
"2020","3월","9시",977
"2020","3월","10시",995
"2020","3월","11시",1000
"2020","3월","12시",1006
"2020","3월","13시",1016
"2020","3월","14시",988
"2020","3월","15시",957
"2020","3월","16시",950
"2020","3월","17시",981
"2020","3월","18시",1085
"2020","3월","19시",1263
"2020","3월","20시",1362
"2020","3월","21시",1342
"2020","3월","22시",1300
"2020","3월","23시",1205
"2020","3월","24시",1078
"2020","4월","1시",954
"2020","4월","2시",837
"2020","4월","3시",773
"2020","4월","4시",741
"2020","4월","5시",733
"2020","4월","6시",751
"2020","4월","7시",833
"2020","4월","8시",945
"2020","4월","9시",991
"2020","4월","10시",1003
"2020","4월","11시",999
"2020","4월","12시",999
"2020","4월","13시",1007
"2020","4월","14시",978
"2020","4월","15시",947
"2020","4월","16시",939
"2020","4월","17시",969
"2020","4월","18시",1064
"2020","4월","19시",1214
"2020","4월","20시",1340
"2020","4월","21시",1351
"2020","4월","22시",1315
"2020","4월","23시",1224
"2020","4월","24시",1095
"2020","5월","1시",952
"2020","5월","2시",829
"2020","5월","3시",761
"2020","5월","4시",724
"2020","5월","5시",713
"2020","5월","6시",731
"2020","5월","7시",819
"2020","5월","8시",936
"2020","5월","9시",991
"2020","5월","10시",1013
"2020","5월","11시",1014
"2020","5월","12시",1016
"2020","5월","13시",1022
"2020","5월","14시",996
"2020","5월","15시",970
"2020","5월","16시",965
"2020","5월","17시",993
"2020","5월","18시",1077
"2020","5월","19시",1197
"2020","5월","20시",1298
"2020","5월","21시",1339
"2020","5월","22시",1315
"2020","5월","23시",1231
"2020","5월","24시",1098
"2020","6월","1시",931
"2020","6월","2시",808
"2020","6월","3시",739
"2020","6월","4시",701
"2020","6월","5시",687
"2020","6월","6시",707
"2020","6월","7시",803
"2020","6월","8시",938
"2020","6월","9시",980
"2020","6월","10시",983
"2020","6월","11시",986
"2020","6월","12시",996
"2020","6월","13시",1017
"2020","6월","14시",1010
"2020","6월","15시",997
"2020","6월","16시",1004
"2020","6월","17시",1038
"2020","6월","18시",1119
"2020","6월","19시",1230
"2020","6월","20시",1311
"2020","6월","21시",1356
"2020","6월","22시",1331
"2020","6월","23시",1236
"2020","6월","24시",1089
"2020","7월","1시",932
"2020","7월","2시",807
"2020","7월","3시",736
"2020","7월","4시",697
"2020","7월","5시",681
"2020","7월","6시",696
"2020","7월","7시",791
"2020","7월","8시",930
"2020","7월","9시",978
"2020","7월","10시",985
"2020","7월","11시",990
"2020","7월","12시",1000
"2020","7월","13시",1020
"2020","7월","14시",1012
"2020","7월","15시",997
"2020","7월","16시",1003
"2020","7월","17시",1038
"2020","7월","18시",1124
"2020","7월","19시",1237
"2020","7월","20시",1317
"2020","7월","21시",1357
"2020","7월","22시",1332
"2020","7월","23시",1240
"2020","7월","24시",1098
"2020","8월","1시",914
"2020","8월","2시",785
"2020","8월","3시",706
"2020","8월","4시",659
"2020","8월","5시",635
"2020","8월","6시",634
"2020","8월","7시",693
"2020","8월","8시",803
"2020","8월","9시",880
"2020","8월","10시",936
"2020","8월","11시",982
"2020","8월","12시",1028
"2020","8월","13시",1082
"2020","8월","14시",1094
"2020","8월","15시",1080
"2020","8월","16시",1080
"2020","8월","17시",1107
"2020","8월","18시",1178
"2020","8월","19시",1292
"2020","8월","20시",1384
"2020","8월","21시",1392
"2020","8월","22시",1340
"2020","8월","23시",1235
"2020","8월","24시",1079
"2020","9월","1시",924
"2020","9월","2시",806
"2020","9월","3시",738
"2020","9월","4시",702
"2020","9월","5시",690
"2020","9월","6시",708
"2020","9월","7시",790
"2020","9월","8시",923
"2020","9월","9시",977
"2020","9월","10시",993
"2020","9월","11시",999
"2020","9월","12시",1011
"2020","9월","13시",1033
"2020","9월","14시",1018
"2020","9월","15시",995
"2020","9월","16시",993
"2020","9월","17시",1024
"2020","9월","18시",1120
"2020","9월","19시",1277
"2020","9월","20시",1362
"2020","9월","21시",1348
"2020","9월","22시",1302
"2020","9월","23시",1203
"2020","9월","24시",1065
"2020","10월","1시",938
"2020","10월","2시",824
"2020","10월","3시",761
"2020","10월","4시",729
"2020","10월","5시",722
"2020","10월","6시",745
"2020","10월","7시",829
"2020","10월","8시",975
"2020","10월","9시",1014
"2020","10월","10시",997
"2020","10월","11시",978
"2020","10월","12시",972
"2020","10월","13시",977
"2020","10월","14시",957
"2020","10월","15시",934
"2020","10월","16시",936
"2020","10월","17시",979
"2020","10월","18시",1119
"2020","10월","19시",1310
"2020","10월","20시",1353
"2020","10월","21시",1344
"2020","10월","22시",1307
"2020","10월","23시",1216
"2020","10월","24시",1084
"2020","11월","1시",926
"2020","11월","2시",817
"2020","11월","3시",758
"2020","11월","4시",730
"2020","11월","5시",725
"2020","11월","6시",750
"2020","11월","7시",836
"2020","11월","8시",983
"2020","11월","9시",1021
"2020","11월","10시",992
"2020","11월","11시",968
"2020","11월","12시",959
"2020","11월","13시",965
"2020","11월","14시",946
"2020","11월","15시",926
"2020","11월","16시",934
